Rol,ID,User story,Objetivo,Privacidad,Fuente requerida,Riesgo UX / Safety,Requisito UX
Ciudadano,C-01,"Como ciudadana, quiero reportar una necesidad comunitaria por WhatsApp, para que IAldea la registre y clasifique sin que tenga que llenar un formulario complejo.",Registrar necesidades desde un canal accesible.,"Público, confidencial comunitario o privado sin memoria.",Mensaje ciudadano y contexto proporcionado.,Que el reporte se vuelva acusación o rumor.,"El chatbot debe guiar con preguntas simples y evitar nombres, acusaciones o datos sensibles."
Ciudadano,C-02,"Como ciudadano, quiero elegir si mi reporte será público, confidencial o privado, para saber quién podrá verlo antes de enviarlo.",Dar control sobre privacidad.,Seleccionada por usuario.,Confirmación de privacidad.,Que la persona comparta información sin entender consecuencias.,"Antes de guardar, IAldea debe explicar quién verá la información y qué se guardará."
Ciudadano,C-03,"Como ciudadana, quiero consultar acuerdos públicos, para entender qué se decidió antes sobre un tema comunitario.",Recuperar memoria cívica.,Público.,"Actas, acuerdos, comunicados o registros validados.",Que IAldea invente o interprete sin fuente.,"Toda respuesta debe mostrar fuente, fecha y nivel de certeza."
Ciudadano,C-04,"Como ciudadano, quiero saber si una preocupación ya fue reportada por más personas, para entender si es un patrón comunitario.",Ver tendencias agregadas.,"Agregado, sin identidad individual.",Reportes comunitarios agregados.,Reidentificación de personas o zonas exactas.,Mostrar patrones sólo cuando cumplan el mínimo de contribuyentes y sin datos personales.
Ciudadano,C-05,"Como ciudadana, quiero recibir una respuesta clara cuando IAldea no pueda ayudarme, para saber qué camino seguro puedo seguir.",Manejar casos fuera de alcance.,Según consulta.,No aplica o fuente de derivación.,"Que IAldea dé consejo legal, médico, electoral o de emergencia.",Mostrar refusal con explicación y alternativa segura.
Secretaría,S-01,"Como Secretaría, quiero convertir reportes ciudadanos en registros estructurados, para que la comunidad pueda organizar necesidades por tema, zona general y prioridad.",Ordenar información comunitaria.,Según origen del reporte.,Reporte ciudadano autorizado.,Exponer datos sensibles o cambiar el sentido del reporte.,"Mostrar resumen editable, modo de privacidad y fuente original."
Secretaría,S-02,"Como Secretaría, quiero registrar acuerdos tomados en asamblea o comité, para preservar memoria cívica verificable.",Documentar decisiones humanas.,Público o confidencial según acuerdo.,"Acta, minuta, votación o documento aprobado.",Que parezca que IAldea aprobó el acuerdo.,"El botón debe decir “Registrar acuerdo”, no “Tomar decisión”."
Secretaría,S-03,"Como Secretaría, quiero redactar una minuta con apoyo de IAldea, para ahorrar tiempo sin perder trazabilidad.",Crear documentación comunitaria.,Según contenido.,"Notas, acta, grabación autorizada o resumen de sesión.",Publicar información no validada.,La minuta debe quedar como borrador hasta revisión humana.
Secretaría,S-04,"Como Secretaría, quiero preparar un comunicado basado en acuerdos y fuentes, para informar a la comunidad de forma clara y verificable.",Informar con respaldo.,Público o confidencial.,"Acuerdo, evidencia o validación previa.","Propaganda, manipulación o exposición de datos.","El editor debe mostrar fuentes, estado y aprobación pendiente."
Secretaría,S-05,"Como Secretaría, quiero ver qué documentos están pendientes de validación, para evitar que información errónea entre a la memoria oficial.",Cuidar calidad de fuentes.,Según documento.,"Documento subido, autoría, fecha y rol.",Usar documentos no verificados como verdad.,"Cada documento debe tener estado: subido, pendiente, validado, contradictorio, rechazado o archivado."
